protocol,field,log_input,message_elements,codeword_elements,actual_inverse_rate,threads,execution_mode,warmups,repetitions,setup_ms,mean_ms,median_ms,min_ms,max_ms,cv_percent,mean_ns_per_input_element,gpu_h2d_mean_ms,gpu_kernel_mean_ms,gpu_d2h_mean_ms,gpu_cuda_total_mean_ms,public_repo_revision,notes
QA-CPU-Parallel,Mersenne127,21,2097152,4194304,2.000000000,32,parallel-single-codeword,5,10,0.000000,181.276257,181.170708,179.685774,183.0878,0.647188,86.4392550468445,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,21,2097152,4194304,2.000000000,0,gpu,5,10,56.163372,2.462821,2.436776,2.378355,2.5968,2.988098,1.1743643760681153,0.749322,0.496150,1.207904,2.453376,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,22,4194304,8388608,2.000000000,1,serial,5,10,77.786890,985.997119,986.108741,984.649893,987.0459,0.071747,235.08003201484678,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,22,4194304,8388608,2.000000000,32,parallel-single-codeword,5,10,0.000000,279.217258,278.626064,276.754427,282.4634,0.630510,66.57058179378511,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,22,4194304,8388608,2.000000000,0,gpu,5,10,119.981950,4.854983,4.819691,4.810101,5.1049,1.774035,1.1575180768966673,1.345280,1.093072,2.406730,4.845082,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,23,8388608,16777216,2.000000000,1,serial,5,10,155.226191,2056.443397,2059.662693,2038.745043,2062.8380,0.392682,245.1471563577652,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,23,8388608,16777216,2.000000000,32,parallel-single-codeword,5,10,0.000000,468.704733,480.102802,429.441472,482.0928,4.211074,55.873958277702336,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,23,8388608,16777216,2.000000000,0,gpu,5,10,226.148254,13.057990,12.934637,12.832205,13.9299,2.324092,1.5566336512565615,2.634954,5.596403,4.814877,13.046233,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,24,16777216,33554432,2.000000000,1,serial,5,10,310.412573,4256.383152,4253.046626,4233.484706,4280.7457,0.432089,253.700205796957,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,24,16777216,33554432,2.000000000,32,parallel-single-codeword,5,10,0.000000,889.508658,878.438539,863.968370,937.3620,2.740906,53.01884759664536,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,24,16777216,33554432,2.000000000,0,gpu,5,10,434.700663,26.996652,27.016991,26.909069,27.0674,0.217345,1.6091258525848389,5.165942,12.151805,9.666006,26.983753,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,25,33554432,67108864,2.000000000,1,serial,5,10,637.690324,9035.186393,9034.547147,8992.502795,9079.8015,0.288620,269.26953772604475,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,25,33554432,67108864,2.000000000,32,parallel-single-codeword,5,10,0.000000,1962.290429,1964.507949,1946.927230,1973.7298,0.428057,58.480811974406244,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
QA-GPU,Mersenne127,25,33554432,67108864,2.000000000,0,gpu,5,10,899.204801,55.526175,55.533223,55.261231,55.8932,0.311401,1.654808959364891,10.484637,25.752605,19.270602,55.507843,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
QA-CPU-Serial,Mersenne127,26,67108864,134217728,2.000000000,1,serial,5,10,1265.625643,19016.964293,19006.386968,18916.295840,19106.7378,0.349342,283.37485034018755,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; existing serial per-row WHT path; output allocation included
QA-CPU-Parallel,Mersenne127,26,67108864,134217728,2.000000000,32,parallel-single-codeword,5,10,0.000000,4002.546105,4001.935143,3984.434105,4019.1287,0.264021,59.64258469492198,,,,,c29f08653121637b456e4705d901d078cd6fc668,single QA codeword; WHT butterfly blocks and pointwise products parallelized within the row; output allocation included
